track_id,name,artists,album,album_type,album_total_tracks,album_release_date,popularity,duration_ms,explicit,available_markets,spotify_link,emotion,artist_popularity,artist_followers,artist_genres,num_artists,is_collaboration,avg_artist_popularity
6a8nD15WJLlXMrKU54IQUH,u need me,zandros,u need me,single,1,5/2/2025,54,173281,FALSE,185,https://open.spotify.com/track/6a8nD15WJLlXMrKU54IQUH,love,58,78891,dark r&b,1,FALSE,58
5at6m1L4BvhhYJzMPQHgyN,test drive,Artemas,southbound / test drive,single,2,3/19/2025,63,188583,FALSE,184,https://open.spotify.com/track/5at6m1L4BvhhYJzMPQHgyN,love,75,1392901,,1,FALSE,75
1De425SCFJULIHbcmeebUw,LET THE WORLD BURN,Chris Grey,LET THE WORLD BURN,single,2,3/8/2024,82,163290,FALSE,185,https://open.spotify.com/track/1De425SCFJULIHbcmeebUw,love,74,1014559,dark r&b,1,FALSE,74
1tlP76vbTQWzYAiKqdafpB,DEMON TIME,Chase Atlantic,LOST IN HEAVEN,album,13,11/1/2024,55,168000,TRUE,183,https://open.spotify.com/track/1tlP76vbTQWzYAiKqdafpB,love,80,10547457,,1,FALSE,80
7uDUb37h7Xdhza1eWMkoJv,Friends,Chase Atlantic,Nostalgia - EP,single,5,2/21/2015,84,230010,FALSE,185,https://open.spotify.com/track/7uDUb37h7Xdhza1eWMkoJv,love,80,10547457,,1,FALSE,80
4kRIV1LN3fI9yB0snKE5sU,don't cry,zandros,don't cry,single,1,2/14/2025,57,235507,FALSE,185,https://open.spotify.com/track/4kRIV1LN3fI9yB0snKE5sU,love,58,78891,dark r&b,1,FALSE,58
0qKKAOF4kezKlvtyYyv12C,DIE FOR ME,Chase Atlantic,DIE FOR ME,single,1,8/23/2024,62,206815,TRUE,183,https://open.spotify.com/track/0qKKAOF4kezKlvtyYyv12C,love,80,10547457,,1,FALSE,80
78szJXsl6RJ8mrZbGprarJ,Red Eye,Darci,Red Eye,single,1,5/16/2025,64,161280,TRUE,185,https://open.spotify.com/track/78szJXsl6RJ8mrZbGprarJ,love,61,286555,dark r&b,1,FALSE,61
140Qp6nqD7QMZ4ulxsbVI6,raw,zandros,raw,single,1,8/1/2025,52,193398,FALSE,185,https://open.spotify.com/track/140Qp6nqD7QMZ4ulxsbVI6,love,58,78891,dark r&b,1,FALSE,58
22SCU7zqMqaTtLCbBZ1tS4,Night Calls,THEMXXNLIGHT,Night Calls,single,1,4/4/2025,43,242972,FALSE,185,https://open.spotify.com/track/22SCU7zqMqaTtLCbBZ1tS4,love,45,22814,dark r&b,1,FALSE,45
6VwBbL8CzPiC4QV66ay7oR,Wicked Games,The Weeknd,Trilogy,album,30,11/13/2012,69,323746,TRUE,181,https://open.spotify.com/track/6VwBbL8CzPiC4QV66ay7oR,love,94,113773228,,1,FALSE,94
0gc3meo5sZtNnv19oI0vRM,Pretty Boy,Isabel LaRosa,Pretty Boy,single,1,8/16/2024,57,123088,FALSE,184,https://open.spotify.com/track/0gc3meo5sZtNnv19oI0vRM,love,72,2592563,,1,FALSE,72
6s7mzoKuGI7tykqVP51WKN,For The Plot,"NYNE, THEMXXNLIGHT",For The Plot,single,1,11/7/2025,39,165000,FALSE,185,https://open.spotify.com/track/6s7mzoKuGI7tykqVP51WKN,love,40,2948,,2,TRUE,42.5
7qBPoaKyCF88X3h7m7NHsi,ALL FOR SHOW,"Zoddy, JLLY",ALL FOR SHOW,single,2,6/2/2025,45,145230,FALSE,185,https://open.spotify.com/track/7qBPoaKyCF88X3h7m7NHsi,love,30,1501,dark r&b,2,TRUE,33.5
5ii50m5FrMDcUOg0EwrI15,GIRLS NEED LUV,"7latenights, Flyy Armani",GIRLS NEED LUV,single,1,7/14/2025,49,123551,TRUE,185,https://open.spotify.com/track/5ii50m5FrMDcUOg0EwrI15,love,36,6114,dark r&b,2,TRUE,39
6An8OLp9DfP3e3tMrGdVFI,Playboy,NYNE,Playboy,single,1,8/27/2025,44,131305,FALSE,185,https://open.spotify.com/track/6An8OLp9DfP3e3tMrGdVFI,love,40,2948,,1,FALSE,40
3sLTYBYs6lJsFK84t2X7wt,Bathroom,Montell Fish,Her Love Still Haunts Me Like a Ghost,album,7,10/28/2022,78,208000,FALSE,183,https://open.spotify.com/track/3sLTYBYs6lJsFK84t2X7wt,love,73,2144420,,1,FALSE,73
5aqBgqB5Jq5S78xsgD0qZc,Love You Right,"Shaker, COBRA",Love You Right,single,1,5/24/2024,50,155309,TRUE,185,https://open.spotify.com/track/5aqBgqB5Jq5S78xsgD0qZc,love,47,57036,"dark r&b,trap soul",2,TRUE,45.5
7LNKcExCeMDEvF9vBcrdDd,PROVIDER,"ARAM, NateTaylorr",PROVIDER,single,1,10/3/2025,46,189731,TRUE,185,https://open.spotify.com/track/7LNKcExCeMDEvF9vBcrdDd,love,30,734,dark r&b,2,TRUE,36.5
2p646IXQ5NldzSmZmpHqC1,Girls On The Internet,Ari Abdul,Girls On The Internet,single,2,8/2/2024,49,198857,TRUE,185,https://open.spotify.com/track/2p646IXQ5NldzSmZmpHqC1,love,67,766195,dark r&b,1,FALSE,67
5VfwLOcMbMggz1fTB9KA99,3am In Miami,Jordyne,3am In Miami,single,1,6/27/2025,44,145125,FALSE,185,https://open.spotify.com/track/5VfwLOcMbMggz1fTB9KA99,love,38,12847,"dark r&b,trap soul",1,FALSE,38
0hdiC2o5agqlpH9G9dqbGg,Tell Me The Truth,Two Feet,Tell Me The Truth,single,1,4/8/2022,0,242349,FALSE,0,https://open.spotify.com/track/0hdiC2o5agqlpH9G9dqbGg,love,68,2181884,,1,FALSE,68
7ckfO3Cerf6OsNgdHBqf1b,Drive You Insane,Daniel Di Angelo,Drive You Insane,single,1,9/1/2021,66,212062,TRUE,185,https://open.spotify.com/track/7ckfO3Cerf6OsNgdHBqf1b,love,56,298905,dark r&b,1,FALSE,56
73kqQ1JnPMXyfptGVUTBYZ,FANGS,Ja¥en X District,FANGS,single,1,10/31/2025,42,158878,TRUE,185,https://open.spotify.com/track/73kqQ1JnPMXyfptGVUTBYZ,love,35,13024,"dark r&b,trap soul",1,FALSE,35
4l4KExqbo5UOT2huLAjMDE,Dangerous,Limi,Dangerous,single,1,5/3/2024,64,199793,FALSE,185,https://open.spotify.com/track/4l4KExqbo5UOT2huLAjMDE,love,60,107526,dark r&b,1,FALSE,60
4y7OSoFuXiXXqg1CViM2NM,Why Don't You,Thorgan,Why Don't You,single,1,6/9/2023,49,168000,TRUE,185,https://open.spotify.com/track/4y7OSoFuXiXXqg1CViM2NM,love,37,7507,dark r&b,1,FALSE,37
0rdhOCfkQkOoxgShrMh7gJ,BABYDOLL,Ari Abdul,BABYDOLL,single,1,2/22/2022,0,196235,TRUE,0,https://open.spotify.com/track/0rdhOCfkQkOoxgShrMh7gJ,love,67,766195,dark r&b,1,FALSE,67
5BtE11fzSHM9BooIr2qNpN,Welcome to the Party,PARTYNEXTDOOR,PARTYNEXTDOOR,album,10,7/1/2013,0,114160,TRUE,0,https://open.spotify.com/track/5BtE11fzSHM9BooIr2qNpN,love,84,10220121,"dark r&b,r&b,trap soul",1,FALSE,84
6ydWxkzjDktHsTzvWcaZ1i,In For It,"Tory Lanez, RL Grime",In For It,single,1,1/15/2015,74,293306,TRUE,183,https://open.spotify.com/track/6ydWxkzjDktHsTzvWcaZ1i,love,80,8346567,,2,TRUE,70
47wdqcFd0yvJ6lGjJR6vdy,IS IT LOVE?,7latenights,IS IT LOVE?,single,1,9/10/2025,44,133474,FALSE,185,https://open.spotify.com/track/47wdqcFd0yvJ6lGjJR6vdy,love,36,6114,dark r&b,1,FALSE,36
1dMBnYZDjDUaaIPlVy2Ovb,Gone,NGC Mekhai,Gone,single,1,8/29/2025,43,178323,TRUE,185,https://open.spotify.com/track/1dMBnYZDjDUaaIPlVy2Ovb,love,26,683,dark r&b,1,FALSE,26
1ZdhOMWyFR8Iv9eylMGYg2,Mount Everest,Labrinth,Imagination & the Misfit Kid,album,15,11/22/2019,77,157497,TRUE,185,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2,love,74,3650691,,1,FALSE,74
5Cw6hiPWth7Z5lr8qeCgDS,need to know,"zandros, NateTaylorr",need to know,single,1,7/5/2024,47,187703,FALSE,185,https://open.spotify.com/track/5Cw6hiPWth7Z5lr8qeCgDS,love,58,78891,dark r&b,2,TRUE,50.5
1au2UduxcvHfa0fZS3Szci,Lavender Sunflower,Tory Lanez,Alone At Prom,album,11,12/10/2021,73,151966,FALSE,185,https://open.spotify.com/track/1au2UduxcvHfa0fZS3Szci,love,80,8346567,,1,FALSE,80
7yGWUX0atHwVFG7kTJZMOE,Intoxicated,Aaryan Shah,Intoxicated,single,2,10/28/2022,0,195000,TRUE,0,https://open.spotify.com/track/7yGWUX0atHwVFG7kTJZMOE,love,59,344567,dark r&b,1,FALSE,59
6LuiuCrG7KzI6yFrn3y4CO,SEVEN,Ja¥en X District,SEVEN,single,1,5/10/2024,39,241240,TRUE,185,https://open.spotify.com/track/6LuiuCrG7KzI6yFrn3y4CO,love,35,13024,"dark r&b,trap soul",1,FALSE,35
4AjE48Y6jK4phaQyGODpsA,Taste of the Divine,"Shaker, Azee, COBRA",Taste of the Divine,single,1,5/3/2024,54,154513,TRUE,185,https://open.spotify.com/track/4AjE48Y6jK4phaQyGODpsA,love,47,57036,"dark r&b,trap soul",3,TRUE,45
6hrQehpiSdengH2I85S68S,off the deep end,"zandros, BRIDGE",off the deep end,single,1,5/31/2024,50,159818,TRUE,185,https://open.spotify.com/track/6hrQehpiSdengH2I85S68S,love,58,78891,dark r&b,2,TRUE,48.5
43PuMrRfbyyuz4QpZ3oAwN,Exchange,Bryson Tiller,T R A P S O U L,album,14,10/2/2015,78,194613,TRUE,185,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN,love,80,10609967,"trap soul,r&b",1,FALSE,80
1dKyceHSpbmHEghVvhTrfo,Body Loud,"SWIM, Limi",Body Loud,single,1,2/2/2024,57,167317,FALSE,185,https://open.spotify.com/track/1dKyceHSpbmHEghVvhTrfo,love,54,55699,dark r&b,2,TRUE,57
5OCxRvtrp2HNuj5bwGYphT,Beautiful Stranger,Black Atlass,Infinite,album,10,11/11/2022,41,231691,FALSE,185,https://open.spotify.com/track/5OCxRvtrp2HNuj5bwGYphT,love,49,125098,,1,FALSE,49
453h6o1457OQs9lcRJFpTl,Through Ecstasy,Thorgan,Through Ecstasy,single,1,4/26/2024,43,162413,TRUE,185,https://open.spotify.com/track/453h6o1457OQs9lcRJFpTl,love,37,7507,dark r&b,1,FALSE,37
56UsK8ziDSA2SrD7hPtApH,THE RIDE,"Omido, Kae",THE RIDE,single,2,5/2/2024,64,155876,TRUE,185,https://open.spotify.com/track/56UsK8ziDSA2SrD7hPtApH,love,59,74203,dark r&b,2,TRUE,55
39AS22u3gYhHzEsISH107e,Dirty,Tank,Dirty,single,1,1/11/2019,27,227048,FALSE,19,https://open.spotify.com/track/39AS22u3gYhHzEsISH107e,love,55,818351,r&b,1,FALSE,55
2EzVY33ikd6Md45cBR0j00,4AM,Nanida9,4AM,single,1,12/23/2022,38,147007,TRUE,185,https://open.spotify.com/track/2EzVY33ikd6Md45cBR0j00,love,24,3432,,1,FALSE,24
1RDLbX9L2G4zDqxXCaMJo5,Long Nights,6LACK,6pc Hot EP,single,6,6/26/2020,59,157020,TRUE,184,https://open.spotify.com/track/1RDLbX9L2G4zDqxXCaMJo5,love,71,4856442,,1,FALSE,71
0nna3me56w0cZVhCahB4T2,living room flow - Bonus,Jhené Aiko,Sailing Soul(s),album,15,3/12/2021,0,262480,TRUE,0,https://open.spotify.com/track/0nna3me56w0cZVhCahB4T2,love,77,9656687,r&b,1,FALSE,77
3qw7SeZ7FYkNdlQtGEMKJr,look what you've done to me (feat. Mellina Tey),"zandros, Mellina Tey",look what you've done to me (feat. Mellina Tey),single,3,11/24/2023,0,168933,FALSE,0,https://open.spotify.com/track/3qw7SeZ7FYkNdlQtGEMKJr,love,58,78891,dark r&b,2,TRUE,55
2sE3eDHcIhDga3as4e4Xn3,RIGHT ON TIME,Jaymie Deville,RIGHT ON TIME,single,1,4/7/2023,44,142242,TRUE,185,https://open.spotify.com/track/2sE3eDHcIhDga3as4e4Xn3,love,31,6397,dark r&b,1,FALSE,31
3RWl1dP90FXmZDUeIAO20j,if u think i'm pretty,Artemas,if u think i'm pretty,single,1,10/24/2023,0,128205,FALSE,0,https://open.spotify.com/track/3RWl1dP90FXmZDUeIAO20j,love,75,1392901,,1,FALSE,75
5tFtwhiDaNimwOESrD8Ny6,Rush,Jordyne,Rush,single,1,9/22/2023,41,121875,TRUE,185,https://open.spotify.com/track/5tFtwhiDaNimwOESrD8Ny6,love,38,12847,"dark r&b,trap soul",1,FALSE,38
7xcU6jomyxCkWHazhRp4W6,PLEASE,"Omido, Ex Habit",PLEASE,single,1,4/20/2022,61,160000,TRUE,185,https://open.spotify.com/track/7xcU6jomyxCkWHazhRp4W6,love,59,74203,dark r&b,2,TRUE,59.5
