emotion,word,predicted_popularity
energetic,girl,2.037869453
energetic,wanna,1.801557541
energetic,tell,1.760940313
energetic,back,1.63987875
energetic,she,1.565932274
energetic,dance,1.562448502
energetic,there,1.540228367
energetic,dreams,1.506742477
energetic,more,1.501179695
energetic,rave,1.466814995
happy,woman,2.216951847
happy,girl,2.208785295
happy,chakra,1.783339977
happy,wanna,1.643212795
happy,she,1.60088563
happy,her,1.57300806
happy,dancing,1.468088627
happy,can,1.46041894
happy,california,1.442881584
happy,tell,1.399649143
love,her,1.074396133
love,more,1.035743237
love,fly,0.988255501
love,dancing,0.983275294
love,tell,0.980205417
love,por,0.970870614
love,sweet,0.916244745
love,girl,0.862583756
love,edit,0.833608866
love,vida,0.799030662
sad,like,1.81065011
sad,sad,1.374568224
sad,flowers,1.316888332
sad,girl,1.205809116
sad,her,1.147865772
sad,happy,1.083969593
sad,stream,1.070156813
sad,more,1.06237936
sad,and,1.042186022
sad,blue,1.010574102
