track_id,name,artists,album,album_release_date,popularity,duration_ms,spotify_link,emotion
001UkMQHw4zXfFNdKpwXAF,Brand New Man - with Luke Combs,"Brooks & Dunn, Luke Combs",Reboot,2019-04-05,65,191053,https://open.spotify.com/track/001UkMQHw4zXfFNdKpwXAF,sad
3fpYeYvjrjLTLa1T6S1xOu,Let's Just Be Friends - From The Angry Birds Movie 2,Luke Combs,Let's Just Be Friends (From The Angry Birds Movie 2),2019-08-02,42,199496,https://open.spotify.com/track/3fpYeYvjrjLTLa1T6S1xOu,sad
2HR9wF4WR2sCJP4r6l9WVF,Used to You,Luke Combs,Used to You,2017-04-28,56,236506,https://open.spotify.com/track/2HR9wF4WR2sCJP4r6l9WVF,sad
7vVsDu0gTg6oZtrKy7pXcW,Can I Get an Outlaw,Luke Combs,Can I Get an Outlaw,2016-11-04,63,238826,https://open.spotify.com/track/7vVsDu0gTg6oZtrKy7pXcW,sad
1NBJoYCz83qtBFGGPgfTkQ,Sheriff You Want To,Luke Combs,Can I Get an Outlaw,2016-11-04,62,221120,https://open.spotify.com/track/1NBJoYCz83qtBFGGPgfTkQ,sad
0TQ9Hf5DwI9crGZSIlq445,I Know She Ain't Ready,Luke Combs,The Way She Rides,2016-11-04,66,184746,https://open.spotify.com/track/0TQ9Hf5DwI9crGZSIlq445,sad
05DejmhRYCktQogzOVX1H9,Let the Moonshine,Luke Combs,The Way She Rides,2016-11-04,54,209266,https://open.spotify.com/track/05DejmhRYCktQogzOVX1H9,sad
4t2AnYhvH7gr59zLJ5Cn6c,The Way She Rides,Luke Combs,The Way She Rides,2016-11-04,52,165666,https://open.spotify.com/track/4t2AnYhvH7gr59zLJ5Cn6c,sad
05zt3H2jdG0MA1V6Q2t2Et,Beyond (feat. Luke Combs) - Live,"Leon Bridges, Luke Combs",Beyond (feat. Luke Combs) [Live],2018-09-21,60,246946,https://open.spotify.com/track/05zt3H2jdG0MA1V6Q2t2Et,sad
7txVarDtz9TCYiUA6mwkZH,Runaway - Slowed + Reverb,"Pop Mage, Tinkler",Runaway (Slowed + Reverb),2023-09-29,50,249370,https://open.spotify.com/track/7txVarDtz9TCYiUA6mwkZH,sad
3qhZZlLfepcMpKAjWHGyTn,Past Lives - slowed + reverb,"sapientdream, Slushii",Past Lives (slowed + reverb),2023-09-27,57,170573,https://open.spotify.com/track/3qhZZlLfepcMpKAjWHGyTn,sad
0ZWNw7aUd8yl6RJNNyI6q8,Bad Liar - Slowed,"Pop Mage, Simon Erics",Bad Liar (Slowed),2023-06-16,48,252456,https://open.spotify.com/track/0ZWNw7aUd8yl6RJNNyI6q8,sad
58wyJLv6yH1La9NIZPl3ne,Can We Kiss Forever?,"Kina, Adriana Proenza",Can We Kiss Forever?,2018-08-31,71,187931,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne,sad
3kGEDnn5e2iAFHDDoaGkBX,Dancing With Your Ghost - Slowed,"Pop Mage, Honeyfox",Dancing With Your Ghost (Slowed),2023-06-16,46,260398,https://open.spotify.com/track/3kGEDnn5e2iAFHDDoaGkBX,sad
2fFA3JjIHtkBaS641By8FO,Let Her Go - Slowed,"Pop Mage, Honeyfox",Let Her Go (Slowed),2023-06-16,44,288164,https://open.spotify.com/track/2fFA3JjIHtkBaS641By8FO,sad
4LDuFh8tES3xOVYRHhUADG,Cardigan Loop,OURGRND,Cardigan Loop,2023-10-21,60,124291,https://open.spotify.com/track/4LDuFh8tES3xOVYRHhUADG,sad
5OuusQgupPup159kZx2eUg,Love Is Gone - Slowed,"Pop Mage, Zelli King",Love Is Gone (Slowed),2023-06-16,44,207086,https://open.spotify.com/track/5OuusQgupPup159kZx2eUg,sad
1KYv6icHddcXpkAkJ6vmz3,spirit lead me where my trust is without borders,Raspo,spirit lead me where my trust is without borders,2021-11-19,47,128906,https://open.spotify.com/track/1KYv6icHddcXpkAkJ6vmz3,sad
1avbaACTs8QOtkAVD5YIiT,Somewhere Only We Know,"Gustixa, rhianne",Somewhere Only We Know,2020-10-27,68,184186,https://open.spotify.com/track/1avbaACTs8QOtkAVD5YIiT,sad
2WbubBuedvhHJU2W5jz8Sy,The Nights,"Pop Mage, SoSad Girl, Kangssi",The Nights,2025-01-29,40,192068,https://open.spotify.com/track/2WbubBuedvhHJU2W5jz8Sy,sad
0nO25NiPrKX64oy7lz5ZaJ,I Exist I Exist I Exist,Flatsound,"Scotland, I Wish You Had Stayed.",2009-09-09,69,314500,https://open.spotify.com/track/0nO25NiPrKX64oy7lz5ZaJ,sad
3CxSFaZ1xgdc02AnjXlYZu,Hey Jude,"Arden Cho, Fallen Roses, Konrad OldMoney",Hey Jude,2025-04-25,42,150447,https://open.spotify.com/track/3CxSFaZ1xgdc02AnjXlYZu,sad
5Kr0xmXDbhpy6gilnNwyDv,Meant To Be Alone,"Sunset Løver, Unicity, Gustixa",Meant To Be Alone,2022-10-14,45,144023,https://open.spotify.com/track/5Kr0xmXDbhpy6gilnNwyDv,sad
4qakjGlqvwv9A1jR7HN7zR,Death Bed - slowed + reverb,"Slowed Tunes, 8D Tunes, Nito-Onna, lost., Pop Mage",Slowed Tunes Vol. 2,2022-06-27,40,135327,https://open.spotify.com/track/4qakjGlqvwv9A1jR7HN7zR,sad
1K7cCkF4c0vmoYOLjGQ14F,Another Love - Cover,"Pop Mage, Hagii, SoSad Girl",Another Love (Cover),2024-10-18,40,210041,https://open.spotify.com/track/1K7cCkF4c0vmoYOLjGQ14F,sad
57M58vlbxoH7LzIn4x3ANx,The Night We Met - Tiktok Version,Kaushal Shekhawat,The Night We Met (Tiktok Version),2023-10-28,0,244356,https://open.spotify.com/track/57M58vlbxoH7LzIn4x3ANx,sad
6YiybHInA0pfa7KPRfXaIg,Home,"Pop Mage, SoSad Girl, linhchou",Home,2025-08-11,37,238404,https://open.spotify.com/track/6YiybHInA0pfa7KPRfXaIg,sad
1DDeo9lZFK0ILrCDEfwSov,Everybody Wants To Rule The World,"Pop Mage, SoSad Girl, Rastz",Everybody Wants To Rule The World,2025-10-07,34,233142,https://open.spotify.com/track/1DDeo9lZFK0ILrCDEfwSov,sad
4MldJ4fhXdT6EThOcyWz0H,Hall Of Fame,"Pop Mage, SoSad Girl, zyrox",Hall Of Fame,2025-10-02,35,184800,https://open.spotify.com/track/4MldJ4fhXdT6EThOcyWz0H,sad
7icXAH3JMr4knpgMdcLC44,Flowers,"Pop Mage, SoSad Girl, zyrox",Flowers,2025-10-01,33,216000,https://open.spotify.com/track/7icXAH3JMr4knpgMdcLC44,sad
0ntn6mr2HZw8LahWCc6sAb,Bones,"Pop Mage, SoSad Girl, linhchou",Bones,2025-10-03,34,189679,https://open.spotify.com/track/0ntn6mr2HZw8LahWCc6sAb,sad
3PQ5GksgcCMgrJpaRq0TRr,I Wanna Be Yours,"Pop Mage, SoSad Girl, linhchou",I Wanna Be Yours,2025-09-30,35,212852,https://open.spotify.com/track/3PQ5GksgcCMgrJpaRq0TRr,sad
3R6nGIWXWcgQ2GepUyMY1s,2002,"Pop Mage, SoSad Girl, linhchou",2002,2025-09-29,32,288588,https://open.spotify.com/track/3R6nGIWXWcgQ2GepUyMY1s,sad
1w7BHZQTeUB0UWOGDRnCMs,Riptide,"Pop Mage, SoSad Girl, linhchou",Riptide,2025-09-25,34,157500,https://open.spotify.com/track/1w7BHZQTeUB0UWOGDRnCMs,sad
7tYWqzEGLG0hIxaS6dN5PE,Leave Before You Love Me,"Pop Mage, SoSad Girl, linhchou",Leave Before You Love Me,2025-09-24,33,236800,https://open.spotify.com/track/7tYWqzEGLG0hIxaS6dN5PE,sad
244Mo3aWWeoOZosKCXXaqg,Bring Me To Life,"Pop Mage, SoSad Girl, linhchou",Bring Me To Life,2025-09-26,33,232941,https://open.spotify.com/track/244Mo3aWWeoOZosKCXXaqg,sad
1yDC4WFP6uBbeTXeNLkvfo,I’m So Tired,"Pop Mage, SoSad Girl, linhchou",I’m So Tired,2025-09-23,34,227160,https://open.spotify.com/track/1yDC4WFP6uBbeTXeNLkvfo,sad
6rd3dgmAV3n6EwZEwWoZBB,Lavender Haze,"Pop Mage, SoSad Girl, linhchou",Lavender Haze,2025-09-22,34,228705,https://open.spotify.com/track/6rd3dgmAV3n6EwZEwWoZBB,sad
1k4XW7x0dJ0hLTA3MOD2mT,The A Team,"Pop Mage, SoSad Girl, Rastz",The A Team,2025-09-19,32,282352,https://open.spotify.com/track/1k4XW7x0dJ0hLTA3MOD2mT,sad
7EabPoM9ii2zDFCxuLWX8n,Boyfriend,"Pop Mage, SoSad Girl, Syxie",Boyfriend,2025-09-16,32,189000,https://open.spotify.com/track/7EabPoM9ii2zDFCxuLWX8n,sad
5gfvHpJ7GYQUac6iQDEDJz,Kill Bill,"Pop Mage, SoSad Girl, linhchou",Kill Bill,2025-09-12,32,180789,https://open.spotify.com/track/5gfvHpJ7GYQUac6iQDEDJz,sad
0QPjQbSnHqHgtdwjqrshqn,Beautiful People,"Pop Mage, SoSad Girl, linhchou",Beautiful People,2025-09-11,32,193734,https://open.spotify.com/track/0QPjQbSnHqHgtdwjqrshqn,sad
4PpqRnBhg3O2BjeAimiCX2,Lover,"Pop Mage, SoSad Girl, linhchou",Lover,2025-09-15,31,188375,https://open.spotify.com/track/4PpqRnBhg3O2BjeAimiCX2,sad
190Qo106bOEZ93Eum0mHfh,Magic,"Pop Mage, SoSad Girl, linhchou",Magic,2025-09-10,33,212054,https://open.spotify.com/track/190Qo106bOEZ93Eum0mHfh,sad
3CBfgIKm222YVufzMYxaUm,Sweater Weather,"Pop Mage, SoSad Girl, linhchou",Sweater Weather,2025-09-08,33,229615,https://open.spotify.com/track/3CBfgIKm222YVufzMYxaUm,sad
67nafTJ3lOZRK4lIy9oaJ5,Cold Water,"Pop Mage, SoSad Girl, linhchou",Cold Water,2025-09-05,31,300032,https://open.spotify.com/track/67nafTJ3lOZRK4lIy9oaJ5,sad
6vhBojfpG6lpxXUfGwtii2,Midnight Sky,"Pop Mage, SoSad Girl, linhchou",Midnight Sky,2025-09-04,31,262971,https://open.spotify.com/track/6vhBojfpG6lpxXUfGwtii2,sad
3nRbEgyEt8dDure2TLXbiY,Burn It Down,"Pop Mage, SoSad Girl, linhchou",Burn It Down,2025-09-03,32,110955,https://open.spotify.com/track/3nRbEgyEt8dDure2TLXbiY,sad
6rP8XuOc0pvxplOIMO1ALf,Hold On,"Pop Mage, SoSad Girl, linhchou",Hold On,2025-09-02,31,267666,https://open.spotify.com/track/6rP8XuOc0pvxplOIMO1ALf,sad
3iYLjb99e2NK34r5nLO6RH,It'll Be Okay,"Pop Mage, SoSad Girl, linhchou",It'll Be Okay,2025-09-01,32,241666,https://open.spotify.com/track/3iYLjb99e2NK34r5nLO6RH,sad
4I7clWwWRjEcNT8WCvWIhU,Feelings,"Pop Mage, SoSad Girl, zyrox",Feelings,2025-08-28,31,202426,https://open.spotify.com/track/4I7clWwWRjEcNT8WCvWIhU,sad
4CpZkOm3LVSguGl4lxfoHv,I Like Me Better,"Pop Mage, SoSad Girl, Rastz",I Like Me Better,2025-08-27,33,231000,https://open.spotify.com/track/4CpZkOm3LVSguGl4lxfoHv,sad
7GgGEg6Fj6vTmAANaZDqV5,Butterflies,"Pop Mage, SoSad Girl, Syxie",Butterflies,2025-08-29,40,268000,https://open.spotify.com/track/7GgGEg6Fj6vTmAANaZDqV5,sad
445ZyygpSej1yIXxPLs3oL,Bloody Mary,"Pop Mage, SoSad Girl, linhchou",Bloody Mary,2025-08-26,32,183296,https://open.spotify.com/track/445ZyygpSej1yIXxPLs3oL,sad
3qHfBrxkWPNbbviItIKkm1,Where Are Ü Now,"Pop Mage, SoSad Girl, linhchou",Where Are Ü Now,2025-08-25,34,190434,https://open.spotify.com/track/3qHfBrxkWPNbbviItIKkm1,sad
4inUKsUhTYu63VBDvgmVIJ,Always Be My Baby,"Pop Mage, SoSad Girl, linhchou",Always Be My Baby,2025-08-21,32,202978,https://open.spotify.com/track/4inUKsUhTYu63VBDvgmVIJ,sad
0VXhaTUDCNLJebBslbJCCB,I Guess I'm In Love,"Pop Mage, SoSad Girl, linhchou",I Guess I'm In Love,2025-08-20,30,170704,https://open.spotify.com/track/0VXhaTUDCNLJebBslbJCCB,sad
2CKvO3C9vlgToujUFpZYOl,Don't Let Me Down,"Pop Mage, SoSad Girl, Rastz",Don't Let Me Down,2025-08-19,32,243636,https://open.spotify.com/track/2CKvO3C9vlgToujUFpZYOl,sad
42UJsNx1pB4NqmTX45v81o,Blank Space,"Pop Mage, SoSad Girl, Rastz",Blank Space,2025-08-18,29,335342,https://open.spotify.com/track/42UJsNx1pB4NqmTX45v81o,sad
1YU9aXHKZdh1EJXsJfUPF0,Be The One,"Pop Mage, SoSad Girl, zyrox",Be The One,2025-08-15,29,257726,https://open.spotify.com/track/1YU9aXHKZdh1EJXsJfUPF0,sad
24QWuqefiVikO9y3mtuXOT,That's What I Like,"Pop Mage, SoSad Girl, linhchou",That's What I Like,2025-08-14,30,246262,https://open.spotify.com/track/24QWuqefiVikO9y3mtuXOT,sad
4QtdGDQUn06rS274goch0X,Lose Control,"Pop Mage, SoSad Girl, linhchou",Lose Control,2025-08-12,31,199338,https://open.spotify.com/track/4QtdGDQUn06rS274goch0X,sad
6HZKR2A3RkybolOXeicxIN,The Mother We Share,"Pop Mage, SoSad Girl, linhchou",The Mother We Share,2025-08-13,30,244687,https://open.spotify.com/track/6HZKR2A3RkybolOXeicxIN,sad
7d9LwfsYIdG9BqxJd0geo7,Apologize,"Pop Mage, SoSad Girl, Kidwave",Apologize,2025-01-10,34,205200,https://open.spotify.com/track/7d9LwfsYIdG9BqxJd0geo7,sad
3WWcuu7v9TQQzhTvleROLU,La La La,"Pop Mage, SoSad Girl, linhchou",La La La,2025-08-08,30,241318,https://open.spotify.com/track/3WWcuu7v9TQQzhTvleROLU,sad
1emV2UqBQG9Onx3RmE5lKr,Lonely,"Pop Mage, SoSad Girl, Syxie",Lonely,2025-08-06,30,216000,https://open.spotify.com/track/1emV2UqBQG9Onx3RmE5lKr,sad
705P5hxhXS0rWO7Uoan3tB,Snowman,"Pop Mage, SoSad Girl, Syxie",Snowman,2025-08-05,30,223200,https://open.spotify.com/track/705P5hxhXS0rWO7Uoan3tB,sad
1zeAvifu7iY19Nrk9NcBCs,Wait A Minute!,"Pop Mage, SoSad Girl, Rastz",Wait A Minute!,2025-08-01,29,240000,https://open.spotify.com/track/1zeAvifu7iY19Nrk9NcBCs,sad
3QAWcn6HlvJ0r0fXysWo2f,Leave Before You Love Me,"Pop Mage, SoSad Girl, Rastz",Leave Before You Love Me,2025-07-31,30,217000,https://open.spotify.com/track/3QAWcn6HlvJ0r0fXysWo2f,sad
51e0VYXSlIB2lwJMqF0jAa,You Right,"Pop Mage, SoSad Girl, Rastz",You Right,2025-07-30,29,245217,https://open.spotify.com/track/51e0VYXSlIB2lwJMqF0jAa,sad
3q8tQZJSkExS47UYLZsS7Q,Meant To Be,"Pop Mage, SoSad Girl, zyrox",Meant To Be,2025-07-29,29,213600,https://open.spotify.com/track/3q8tQZJSkExS47UYLZsS7Q,sad
6PRQ2f4vkzprb8SYqsa16e,Waves,"Pop Mage, SoSad Girl, linhchou",Waves,2025-07-28,28,297115,https://open.spotify.com/track/6PRQ2f4vkzprb8SYqsa16e,sad
408L4dZpssi5qWIfGxiswH,The Less I Know The Better,"Pop Mage, SoSad Girl, linhchou",The Less I Know The Better,2025-07-25,29,259258,https://open.spotify.com/track/408L4dZpssi5qWIfGxiswH,sad
54mEZTLoSWBjRCHPyczzd4,Run For The Hills,"Pop Mage, SoSad Girl, linhchou",Run For The Hills,2025-07-24,29,203500,https://open.spotify.com/track/54mEZTLoSWBjRCHPyczzd4,sad
1SKFbpujpWClSo8RliJwms,Cardigan,"Pop Mage, SoSad Girl, zyrox",Cardigan,2025-07-23,30,193124,https://open.spotify.com/track/1SKFbpujpWClSo8RliJwms,sad
7wTJ5ClB9XITg3PFHY99S7,All I Want,"Pop Mage, SoSad Girl, zyrox",All I Want,2025-07-22,30,200580,https://open.spotify.com/track/7wTJ5ClB9XITg3PFHY99S7,sad
5CyUFWHbYmaNEwkc3xXayr,Unholy,"Pop Mage, SoSad Girl, zyrox",Unholy,2025-07-21,29,246857,https://open.spotify.com/track/5CyUFWHbYmaNEwkc3xXayr,sad
1d9iucuuXQ1PKerUXNPhjI,Payphone,"Pop Mage, SoSad Girl, linhchou",Payphone,2025-07-18,29,302222,https://open.spotify.com/track/1d9iucuuXQ1PKerUXNPhjI,sad
48ePri6RAJc8nYesQLcFzV,I Like The Way You Kiss Me,"Pop Mage, SoSad Girl, linhchou",I Like The Way You Kiss Me,2025-07-17,30,201684,https://open.spotify.com/track/48ePri6RAJc8nYesQLcFzV,sad
4m6L2ZhwuuvH9mxwCe7f9l,Stick Season,"Pop Mage, SoSad Girl, linhchou",Stick Season,2025-07-15,29,220357,https://open.spotify.com/track/4m6L2ZhwuuvH9mxwCe7f9l,sad
50NyLWxzbf6QMqzzvDETXD,Story of My Life,"Pop Mage, SoSad Girl, linhchou",Story of My Life,2025-07-11,30,220434,https://open.spotify.com/track/50NyLWxzbf6QMqzzvDETXD,sad
3lFdhXWTeFnUnoQGddhQ9X,Hotter Than Hell,"Pop Mage, SoSad Girl, zyrox",Hotter Than Hell,2025-07-09,28,281454,https://open.spotify.com/track/3lFdhXWTeFnUnoQGddhQ9X,sad
0KgsxH9Z7ttdjwQr3OtTBS,Hey There Delilah,"Pop Mage, SoSad Girl, linhchou",Hey There Delilah,2025-07-08,28,265769,https://open.spotify.com/track/0KgsxH9Z7ttdjwQr3OtTBS,sad
34E4OdB4NtGNeACdD2wsgL,Take Me To Church,"Pop Mage, SoSad Girl, linhchou",Take Me To Church,2025-07-04,29,251936,https://open.spotify.com/track/34E4OdB4NtGNeACdD2wsgL,sad
31eOrgkA7qWppWWU72NMtV,Into Your Arms,"Pop Mage, SoSad Girl, linhchou",Into Your Arms,2025-07-03,30,154090,https://open.spotify.com/track/31eOrgkA7qWppWWU72NMtV,sad
1mE9jwZO1rHy6b9rCWsrQi,Miss You,"Pop Mage, SoSad Girl, linhchou",Miss You,2025-07-07,30,210319,https://open.spotify.com/track/1mE9jwZO1rHy6b9rCWsrQi,sad
5JE587BuHx3e9hUcLm0tW5,August,"Pop Mage, SoSad Girl, Rastz",August,2025-07-02,28,221577,https://open.spotify.com/track/5JE587BuHx3e9hUcLm0tW5,sad
4nbIqp1ASfpBfo2kIkRx6H,Thinking Out Loud,"Pop Mage, SoSad Girl, Rastz",Thinking Out Loud,2025-07-01,28,293114,https://open.spotify.com/track/4nbIqp1ASfpBfo2kIkRx6H,sad
3PFq8nWG8SWL7OxuXByF0J,Fallin',"Pop Mage, SoSad Girl, Rastz",Fallin',2025-06-30,28,187500,https://open.spotify.com/track/3PFq8nWG8SWL7OxuXByF0J,sad
